School Name,District Name (School),County Name (School)
Creekside Charter (Newcastle Elementary),Newcastle Elementary,Placer
Creekside Early Learning Center (Alpine Union Elementary),Alpine Union Elementary,San Diego
Creekside Elementary (Moreno Valley Unified),Moreno Valley Unified,Riverside
Creekside Elementary (San Ramon Valley Unified),San Ramon Valley Unified,Contra Costa
Creekside Elementary (Poway Unified),Poway Unified,San Diego
Creekside Elementary (Alisal Union),Alisal Union,Monterey
Creekside Elementary (Lodi Unified),Lodi Unified,San Joaquin
Creekside High (Murrieta Valley Unified),Murrieta Valley Unified,Riverside
Creekside High (Irvine Unified),Irvine Unified,Orange
Creekside High (Sonoma Valley Unified),Sonoma Valley Unified,Sonoma
Creekside Middle (Castro Valley Unified),Castro Valley Unified,Alameda
Creekside Middle (Patterson Joint Unified),Patterson Joint Unified,Stanislaus
Creekside Oaks Elementary (Western Placer Unified),Western Placer Unified,Placer
Creekview Ranch (Dry Creek Joint Elementary),Dry Creek Joint Elementary,Placer
Creekview Ranch Middle (Dry Creek Joint Elementary),Dry Creek Joint Elementary,Placer
Crenshaw Arts-Technology Charter High (Los Angeles Unified),Los Angeles Unified,Los Angeles
"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet (Los Angeles Unified)",Los Angeles Unified,Los Angeles
Crescent Elementary (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Crescent Elementary (Orange Unified),Orange Unified,Orange
Crescent Elk Middle (Del Norte County Unified),Del Norte County Unified,Del Norte
Crescent Heights Boulevard Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Crescent Valley Public Charter (Stone Corral Elementary),Stone Corral Elementary,Tulare
Crescent View South Charter (Westside Elementary),Westside Elementary,Fresno
Crescent View West Charter (Fresno County Office of Education),Fresno County Office of Education,Fresno
Crescenta Valley High (Glendale Unified),Glendale Unified,Los Angeles
Crespi Junior High (West Contra Costa Unified),West Contra Costa Unified,Contra Costa
Cressey Elementary (Ballico-Cressey Elementary),Ballico-Cressey Elementary,Merced
Cresson Elementary (Little Lake City Elementary),Little Lake City Elementary,Los Angeles
Crest Elementary (Cajon Valley Union),Cajon Valley Union,San Diego
Crestline Elementary (Barstow Unified),Barstow Unified,San Bernardino
Crestmont Elementary (Roseville City Elementary),Roseville City Elementary,Placer
Crestmore Elementary (Colton Joint Unified),Colton Joint Unified,San Bernardino
Creston Elementary (Atascadero Unified),Atascadero Unified,San Luis Obispo
Crestview Elementary (Lompoc Unified),Lompoc Unified,Santa Barbara
Crestview Elementary (Simi Valley Unified),Simi Valley Unified,Ventura
Crestwood Elementary (Visalia Unified),Visalia Unified,Tulare
Crestwood Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Crittenden Middle (Mountain View Whisman),Mountain View Whisman,Santa Clara
Crocker Highlands Elementary (Oakland Unified),Oakland Unified,Alameda
Crocker Middle (Hillsborough City Elementary),Hillsborough City Elementary,San Mateo
Crocker/Riverside Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Crossroads (Petaluma Joint Union High),Petaluma Joint Union High,Sonoma
Crossroads Alternative Education Center (Los Banos Unified),Los Banos Unified,Merced
Crossroads Charter (Armona Union Elementary),Armona Union Elementary,Kings
Crossroads Community Day (Lancaster Elementary),Lancaster Elementary,Los Angeles
Crossroads Elementary (Sylvan Union Elementary),Sylvan Union Elementary,Stanislaus
Crossroads High (Alternative) (Newark Unified),Newark Unified,Alameda
Crossroads High (Continuation) (Mt. Diablo Unified),Mt. Diablo Unified,Contra Costa
Crowell Elementary (Turlock Unified),Turlock Unified,Stanislaus
Crowley Elementary (Visalia Unified),Visalia Unified,Tulare
Crown Point Elementary (San Diego Unified),San Diego Unified,San Diego
Crown Preparatory Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Crown Valley Elementary (Capistrano Unified),Capistrano Unified,Orange
Crowne Hill Elementary (Temecula Valley Unified),Temecula Valley Unified,Riverside
Crozier (George W.) Middle (Inglewood Unified),Inglewood Unified,Los Angeles
Crystal Middle (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Cubberley Elementary (San Diego Unified),San Diego Unified,San Diego
Cubberley K-8 (Long Beach Unified),Long Beach Unified,Los Angeles
Cucamonga Elementary (Cucamonga Elementary),Cucamonga Elementary,San Bernardino
Cucamonga Middle (Central Elementary),Central Elementary,San Bernardino
Cuddeback Elementary (Cuddeback Union Elementary),Cuddeback Union Elementary,Humboldt
Cullen Elementary (Glendora Unified),Glendora Unified,Los Angeles
Culver City High (Culver City Unified),Culver City Unified,Los Angeles
Culver City Middle (Culver City Unified),Culver City Unified,Los Angeles
Culver City Unified School District iAcademy (Culver City Unified),Culver City Unified,Los Angeles
Culver Park High (Culver City Unified),Culver City Unified,Los Angeles
Culverdale Elementary (Irvine Unified),Irvine Unified,Orange
Cumberland Elementary (Sunnyvale),Sunnyvale,Santa Clara
Cummings Valley Elementary (Tehachapi Unified),Tehachapi Unified,Kern
Cunningham Elementary (Turlock Unified),Turlock Unified,Stanislaus
Cupertino High (Fremont Union High),Fremont Union High,Santa Clara
Cupertino Middle (Cupertino Union),Cupertino Union,Santa Clara
Curie Elementary (San Diego Unified),San Diego Unified,San Diego
Curran Middle (Bakersfield City),Bakersfield City,Kern
Curren Elementary (Oxnard),Oxnard,Ventura
Curtis Creek Elementary (Curtis Creek Elementary),Curtis Creek Elementary,Tuolumne
Curtis Middle (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Curtner Elementary (Milpitas Unified),Milpitas Unified,Santa Clara
Cutler Elementary (Cutler-Orosi Joint Unified),Cutler-Orosi Joint Unified,Tulare
Cutler-Orosi Community Day (Cutler-Orosi Joint Unified),Cutler-Orosi Joint Unified,Tulare
Cutten Elementary (Cutten Elementary),Cutten Elementary,Humboldt
Cuyama Elementary (Cuyama Joint Unified),Cuyama Joint Unified,Santa Barbara
Cuyama Valley High (Cuyama Joint Unified),Cuyama Joint Unified,Santa Barbara
Cypress Charter High (Live Oak Elementary),Live Oak Elementary,Santa Cruz
Cypress Elementary (Redding Elementary),Redding Elementary,Shasta
Cypress Elementary (Fontana Unified),Fontana Unified,San Bernardino
Cypress Elementary (Covina-Valley Unified),Covina-Valley Unified,Los Angeles
Cypress Elementary (Conejo Valley Unified),Conejo Valley Unified,Ventura
Cypress Elementary (Tulare City),Tulare City,Tulare
Cypress Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Cypress High (Anaheim Union High),Anaheim Union High,Orange
Cypress School of the Arts (Hesperia Unified),Hesperia Unified,San Bernardino
Cypress Village Elementary (Irvine Unified),Irvine Unified,Orange
Cyril Spinelli Elementary (Center Joint Unified),Center Joint Unified,Sacramento
Cyrus J. Morris Elementary (Walnut Valley Unified),Walnut Valley Unified,Los Angeles
D. D. Johnston Elementary (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,Los Angeles
D. H. White Elementary (River Delta Joint Unified),River Delta Joint Unified,Sacramento
D. J. Sedgwick Elementary (Cupertino Union),Cupertino Union,Santa Clara
D. Russell Parks Junior High (Fullerton Elementary),Fullerton Elementary,Orange
D. W. Babcock Elementary (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Da Vinci Charter Academy (Davis Joint Unified),Davis Joint Unified,Yolo
Da Vinci Communications High (Wiseburn Unified),Wiseburn Unified,Los Angeles
Da Vinci Design (Wiseburn Unified),Wiseburn Unified,Los Angeles
Da Vinci Innovation Academy (Wiseburn Unified),Wiseburn Unified,Los Angeles
Da Vinci Science (Wiseburn Unified),Wiseburn Unified,Los Angeles
Dahlia Heights Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Dailard Elementary (San Diego Unified),San Diego Unified,San Diego
Daily (Allan F.) High (Continuation) (Glendale Unified),Glendale Unified,Los Angeles
Dairyland Elementary (Alview-Dairyland Union Elementary),Alview-Dairyland Union Elementary,Madera
Daisy Gibson Elementary (Keppel Union Elementary),Keppel Union Elementary,Los Angeles
Dale Junior High (Anaheim Union High),Anaheim Union High,Orange
Dallas Ranch Middle (Antioch Unified),Antioch Unified,Contra Costa
Dan Jacobs (Yolo County Office of Education),Yolo County Office of Education,Yolo
Dan Mini Elementary (Vallejo City Unified),Vallejo City Unified,Solano
Dan O. Root Elementary (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Dana (San Diego Unified),San Diego Unified,San Diego
Dana Elementary (Lucia Mar Unified),Lucia Mar Unified,San Luis Obispo
Dana Gray Elementary (Fort Bragg Unified),Fort Bragg Unified,Mendocino
Dana Hills High (Capistrano Unified),Capistrano Unified,Orange
Danbrook Elementary (Centralia Elementary),Centralia Elementary,Orange
Danbury Special Education (Claremont Unified),Claremont Unified,Los Angeles
Daniel J. Savage Middle (Sylvan Union Elementary),Sylvan Union Elementary,Stanislaus
Daniel Lewis Middle (Paso Robles Joint Unified),Paso Robles Joint Unified,San Luis Obispo
Daniel N. Buchanan Elementary (Murrieta Valley Unified),Murrieta Valley Unified,Riverside
Daniel Pearl Journalism & Communications Magnet (Los Angeles Unified),Los Angeles Unified,Los Angeles
Daniel Phelan Elementary (Whittier City Elementary),Whittier City Elementary,Los Angeles
Daniel Webster (Pasadena Unified),Pasadena Unified,Los Angeles
Daniel Webster Elementary (Jefferson Elementary),Jefferson Elementary,San Mateo
Daniel Webster Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
"Danny J. Bakewell, Sr., Primary Center (Los Angeles Unified)",Los Angeles Unified,Los Angeles
Danube Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Dapplegray Elementary (Palos Verdes Peninsula Unified),Palos Verdes Peninsula Unified,Los Angeles
Darby Avenue Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Dario Cassina High (Sonora Union High),Sonora Union High,Tuolumne
Darnall Charter (San Diego Unified),San Diego Unified,San Diego
Dartmouth Middle (Hemet Unified),Hemet Unified,Riverside
Dartmouth Middle (Union Elementary),Union Elementary,Santa Clara
Date Elementary (Fontana Unified),Fontana Unified,San Bernardino
Daves Avenue Elementary (Los Gatos Union Elementary),Los Gatos Union Elementary,Santa Clara
David A. Brown Middle (Lake Elsinore Unified),Lake Elsinore Unified,Riverside
David G. Millen Intermediate (Palmdale Elementary),Palmdale Elementary,Los Angeles
David L. Greenberg Elementary (Fresno Unified),Fresno Unified,Fresno
David Lubin Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
David Reese Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
David Starr Jordan Middle (Burbank Unified),Burbank Unified,Los Angeles
David Starr Jordan Middle (Palo Alto Unified),Palo Alto Unified,Santa Clara
David Starr Jordan Senior High (Los Angeles Unified),Los Angeles Unified,Los Angeles
David W. Long Elementary (Etiwanda Elementary),Etiwanda Elementary,San Bernardino
David Wark Griffith Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Davidson Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Davila Day (San Diego County Office of Education),San Diego County Office of Education,San Diego
Davis (Caroline) Intermediate (Oak Grove Elementary),Oak Grove Elementary,Santa Clara
Davis Elementary (Lodi Unified),Lodi Unified,San Joaquin
Davis Middle (Compton Unified),Compton Unified,Los Angeles
Davis School for Independent Study (Davis Joint Unified),Davis Joint Unified,Yolo
Davis Senior High (Davis Joint Unified),Davis Joint Unified,Yolo
Day Creek Intermediate (Etiwanda Elementary),Etiwanda Elementary,San Bernardino
Daylor (William) High (Continuation) (Elk Grove Unified),Elk Grove Unified,Sacramento
Dayton Elementary (San Lorenzo Unified),San Lorenzo Unified,Alameda
Dayton Heights Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
De Anza Academy of Technology and the Arts (Ventura Unified),Ventura Unified,Ventura
De Anza Elementary (San Jacinto Unified),San Jacinto Unified,Riverside
De Anza Elementary (Baldwin Park Unified),Baldwin Park Unified,Los Angeles
De Anza Magnet (El Centro Elementary),El Centro Elementary,Imperial
De Anza Middle (Ontario-Montclair),Ontario-Montclair,San Bernardino
De Anza Senior High (West Contra Costa Unified),West Contra Costa Unified,Contra Costa
De Laveaga Elementary (Santa Cruz City Elementary),Santa Cruz City Elementary,Santa Cruz
De Portola Elementary (Saddleback Valley Unified),Saddleback Valley Unified,Orange
De Portola Middle (San Diego Unified),San Diego Unified,San Diego
Dean L. Shively (Valle Lindo Elementary),Valle Lindo Elementary,Los Angeles
Dearborn Elementary Charter Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Death Valley Elementary (Death Valley Unified),Death Valley Unified,Inyo
Death Valley High Academy (Death Valley Unified),Death Valley Unified,Inyo
Deborah A. Williams Elementary (Fresno Unified),Fresno Unified,Fresno
Decker Elementary (Pomona Unified),Pomona Unified,Los Angeles
Decoto School for Independent Study (New Haven Unified),New Haven Unified,Alameda
Deep Creek Academy (Farmersville Unified),Farmersville Unified,Tulare
Deer Canyon Elementary (Poway Unified),Poway Unified,San Diego
Deer Canyon Elementary (Alta Loma Elementary),Alta Loma Elementary,San Bernardino
Deer Creek Elementary (Nevada City Elementary),Nevada City Elementary,Nevada
Deer Valley High (Antioch Unified),Antioch Unified,Contra Costa
Deerfield Elementary (Irvine Unified),Irvine Unified,Orange
Dehesa Charter (Dehesa Elementary),Dehesa Elementary,San Diego
Dehesa Elementary (Dehesa Elementary),Dehesa Elementary,San Diego
Del Amigo High (Continuation) (San Ramon Valley Unified),San Ramon Valley Unified,Contra Costa
Del Amo Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Del Campo High (San Juan Unified),San Juan Unified,Sacramento
Del Cerro Elementary (Saddleback Valley Unified),Saddleback Valley Unified,Orange
Del Dayo Elementary (San Juan Unified),San Juan Unified,Sacramento
Del Dios Academy of Arts and Sciences (Escondido Union),Escondido Union,San Diego
Del Lago Academy - Campus of Applied Science (Escondido Union High),Escondido Union High,San Diego
Del Lago Elementary (Saddleback Valley Unified),Saddleback Valley Unified,Orange
